trip_no,booking_no,vehicle_id,driver_id,vendor_id,branch_id,route_from,route_to,distance_km,dispatch_dt,eta,border_allowance,food_allowance,advance,status
TRP-2272,BKG-4385,VEH-049,EMP-0046,VND-0031,BR-011,Bhopal,Morbi,675,2026-08-23 08:00:00,2026-08-26,1000,400,1550,At Hub
TRP-2273,BKG-4387,VEH-052,EMP-0032,,BR-017,Gurugram,Delhi,28,2026-08-21 08:00:00,2026-08-25,1000,400,1350,Completed
TRP-2274,BKG-4388,VEH-004,EMP-0003,,BR-014,Hyderabad,Ahmedabad,879,2026-08-03 06:00:00,2026-08-06,1000,400,1200,Completed
TRP-2275,BKG-4389,VEH-022,EMP-0044,,BR-001,Nagpur,Delhi,855,2026-08-22 13:00:00,2026-08-26,1000,400,1300,Completed
TRP-2276,BKG-4390,VEH-045,EMP-0029,,BR-013,Ahmedabad,Kanpur,871,2026-07-27 09:00:00,2026-08-01,1000,400,1450,Completed
TRP-2277,BKG-4391,VEH-039,EMP-0033,,BR-008,Surat,Kanpur,962,2026-07-29 07:00:00,2026-07-31,1000,400,1300,Completed
TRP-2278,BKG-4392,VEH-027,EMP-0007,,BR-008,Surat,Bhopal,526,2026-08-13 11:00:00,2026-08-17,1000,400,1750,Completed
TRP-2279,BKG-4393,VEH-060,EMP-0009,VND-0024,BR-013,Ahmedabad,Bengaluru,1237,2026-08-22 12:00:00,2026-08-25,1000,400,1400,Completed
TRP-2280,BKG-4394,VEH-040,EMP-0036,,BR-010,Nashik,Mumbai,140,2026-08-22 07:00:00,2026-08-24,1000,400,1300,Completed
TRP-2281,BKG-4396,VEH-011,EMP-0008,,BR-005,Indore,Lucknow,689,2026-08-20 18:00:00,2026-08-23,1000,400,1500,At Hub
TRP-2282,BKG-4397,VEH-006,EMP-0005,,BR-001,Nagpur,Morbi,871,2026-08-04 15:00:00,2026-08-06,1000,400,1400,Completed
TRP-2283,BKG-4398,VEH-027,EMP-0026,,BR-012,Lucknow,Ahmedabad,945,2026-07-26 20:00:00,2026-07-31,1000,400,1200,Completed
TRP-2284,BKG-4399,VEH-050,EMP-0034,,BR-001,Nagpur,Bhopal,291,2026-08-17 18:00:00,2026-08-20,1000,400,1350,Completed
TRP-2285,BKG-4400,VEH-023,EMP-0023,,BR-010,Nashik,Raipur,828,2026-08-03 12:00:00,2026-08-06,1000,400,1650,Completed
TRP-2286,BKG-4402,VEH-051,EMP-0006,,BR-011,Bhopal,Jaipur,438,2026-08-03 17:00:00,2026-08-06,1000,400,1200,Completed
TRP-2287,BKG-4403,VEH-017,EMP-0014,,BR-010,Nashik,Pune,164,2026-08-05 07:00:00,2026-08-08,1000,400,1550,Completed
TRP-2288,BKG-4404,VEH-004,EMP-0003,,BR-006,Raipur,Gurugram,926,2026-07-18 09:00:00,2026-07-20,1000,400,1350,Completed
TRP-2289,BKG-4405,VEH-001,EMP-0004,VND-0034,BR-016,Bengaluru,Nagpur,923,2026-08-05 12:00:00,2026-08-07,1000,400,1750,Completed
TRP-2290,BKG-4406,VEH-004,EMP-0003,,BR-004,Pune,Kolkata,1575,2026-08-20 10:00:00,2026-08-25,1000,400,1550,Completed
TRP-2291,BKG-4407,VEH-038,EMP-0043,VND-0007,BR-010,Nashik,Mumbai,140,2026-08-23 14:00:00,2026-08-26,1000,400,1450,At Hub
TRP-2292,BKG-4408,VEH-032,EMP-0039,VND-0015,BR-013,Ahmedabad,Raipur,953,2026-07-23 19:00:00,2026-07-26,1000,400,1700,Completed
TRP-2293,BKG-4409,VEH-011,EMP-0008,,BR-014,Hyderabad,Raipur,542,2026-08-02 06:00:00,2026-08-07,1000,400,1650,Completed
TRP-2294,BKG-4410,VEH-024,EMP-0021,VND-0024,BR-014,Hyderabad,Morbi,1001,2026-07-21 10:00:00,2026-07-25,1000,400,1500,Completed
TRP-2295,BKG-4411,VEH-023,EMP-0023,,BR-010,Nashik,Hyderabad,574,2026-08-26 13:00:00,2026-08-30,1000,400,1200,Planned
TRP-2296,BKG-4412,VEH-059,EMP-0046,,BR-003,Mumbai,Lucknow,1195,2026-08-03 12:00:00,2026-08-06,1000,400,1600,Completed
TRP-2297,BKG-4413,VEH-017,EMP-0014,,BR-016,Bengaluru,Kolkata,1561,2026-08-26 08:00:00,2026-08-29,1000,400,1650,Planned
TRP-2298,BKG-4414,VEH-029,EMP-0017,,BR-005,Indore,Ahmedabad,338,2026-08-26 20:00:00,2026-08-29,1000,400,1300,Planned
TRP-2299,BKG-4415,VEH-003,EMP-0009,VND-0008,BR-015,Kolkata,Delhi,1305,2026-08-05 19:00:00,2026-08-07,1000,400,1700,Completed
TRP-2300,BKG-4416,VEH-046,EMP-0020,,BR-003,Mumbai,Pune,120,2026-08-27 19:00:00,2026-08-30,1000,400,1400,Planned
TRP-2301,BKG-4417,VEH-060,EMP-0042,VND-0024,BR-001,Nagpur,Delhi,855,2026-07-13 15:00:00,2026-07-17,1000,400,1600,Completed
TRP-2302,BKG-4418,VEH-034,EMP-0008,VND-0030,BR-012,Lucknow,Indore,689,2026-08-19 19:00:00,2026-08-24,1000,400,1550,Completed
TRP-2303,BKG-4419,VEH-060,EMP-0029,VND-0024,BR-009,Kanpur,Mumbai,1120,2026-08-24 13:00:00,2026-08-29,1000,400,1550,Running
TRP-2304,BKG-4420,VEH-041,EMP-0026,VND-0009,BR-009,Kanpur,Bhopal,461,2026-08-23 10:00:00,2026-08-26,1000,400,1600,Completed
TRP-2305,BKG-4421,VEH-002,EMP-0001,VND-0012,BR-011,Bhopal,Kolkata,1124,2026-08-01 13:00:00,2026-08-05,1000,400,1400,Completed
TRP-2306,BKG-4422,VEH-028,EMP-0016,VND-0027,BR-005,Indore,Jaipur,466,2026-07-09 19:00:00,2026-07-11,1000,400,1550,Completed
TRP-2307,BKG-4423,VEH-021,EMP-0025,,BR-016,Bengaluru,Raipur,1015,2026-08-11 07:00:00,2026-08-16,1000,400,1500,Completed
TRP-2308,BKG-4424,VEH-033,EMP-0021,VND-0029,BR-015,Kolkata,Lucknow,887,2026-08-18 12:00:00,2026-08-23,1000,400,1500,Completed
TRP-2309,BKG-4425,VEH-005,EMP-0020,VND-0010,BR-007,Jaipur,Bengaluru,1561,2026-07-05 15:00:00,2026-07-10,1000,400,1350,Completed
TRP-2310,BKG-4426,VEH-036,EMP-0043,,BR-001,Nagpur,Jaipur,723,2026-08-15 09:00:00,2026-08-20,1000,400,1200,Completed
TRP-2311,BKG-4427,VEH-036,EMP-0043,,BR-006,Raipur,Kanpur,593,2026-07-24 17:00:00,2026-07-29,1000,400,1600,Completed
TRP-2312,BKG-4428,VEH-012,EMP-0010,VND-0009,BR-005,Indore,Gurugram,649,2026-08-26 13:00:00,2026-08-28,1000,400,1200,Running
TRP-2313,BKG-4429,VEH-053,EMP-0034,VND-0004,BR-006,Raipur,Jaipur,865,2026-08-28 07:00:00,2026-09-01,1000,400,1200,Planned
TRP-2314,BKG-4430,VEH-026,EMP-0031,,BR-001,Nagpur,Pune,620,2026-08-16 13:00:00,2026-08-20,1000,400,1200,Completed
TRP-2315,BKG-4431,VEH-030,EMP-0027,VND-0020,BR-003,Mumbai,Bengaluru,845,2026-08-16 09:00:00,2026-08-20,1000,400,1400,Completed
TRP-2316,BKG-4432,VEH-030,EMP-0027,VND-0020,BR-001,Nagpur,Ahmedabad,703,2026-08-09 09:00:00,2026-08-13,1000,400,1450,Completed
TRP-2317,BKG-4433,VEH-016,EMP-0028,,BR-014,Hyderabad,Gurugram,1240,2026-08-24 16:00:00,2026-08-28,1000,400,1550,Completed
TRP-2318,BKG-4434,VEH-013,EMP-0022,,BR-007,Jaipur,Lucknow,512,2026-08-13 13:00:00,2026-08-15,1000,400,1250,Completed
TRP-2319,BKG-4435,VEH-024,EMP-0021,VND-0024,BR-009,Kanpur,Ahmedabad,871,2026-08-21 10:00:00,2026-08-25,1000,400,1700,Running
TRP-2320,BKG-4436,VEH-015,EMP-0015,VND-0018,BR-010,Nashik,Lucknow,1055,2026-08-11 11:00:00,2026-08-16,1000,400,1300,Completed
TRP-2321,BKG-4437,VEH-042,EMP-0042,,BR-015,Kolkata,Bengaluru,1561,2026-08-05 18:00:00,2026-08-10,1000,400,1600,Completed
TRP-2322,BKG-4438,VEH-014,EMP-0002,VND-0019,BR-007,Jaipur,Surat,705,2026-08-04 08:00:00,2026-08-08,1000,400,1600,Completed
TRP-2323,BKG-4439,VEH-019,EMP-0024,,BR-011,Bhopal,Pune,643,2026-08-19 20:00:00,2026-08-23,1000,400,1700,Completed
TRP-2324,BKG-4440,VEH-025,EMP-0047,,BR-013,Ahmedabad,Gurugram,751,2026-08-02 07:00:00,2026-08-07,1000,400,1550,Completed
TRP-2325,BKG-4441,VEH-061,EMP-0018,VND-0023,BR-014,Hyderabad,Mumbai,621,2026-08-22 19:00:00,2026-08-27,1000,400,1400,Completed
TRP-2326,BKG-4442,VEH-059,EMP-0046,,BR-005,Indore,Raipur,617,2026-08-12 18:00:00,2026-08-17,1000,400,1250,Completed
TRP-2327,BKG-4443,VEH-015,EMP-0015,VND-0018,BR-012,Lucknow,Raipur,626,2026-07-30 16:00:00,2026-08-01,1000,400,1450,Completed
TRP-2328,BKG-4444,VEH-012,EMP-0010,VND-0009,BR-010,Nashik,Bhopal,521,2026-08-30 07:00:00,2026-09-01,1000,400,1450,Planned
TRP-2329,BKG-4445,VEH-059,EMP-0046,,BR-004,Pune,Ahmedabad,518,2026-08-05 10:00:00,2026-08-08,1000,400,1200,Completed
TRP-2330,BKG-4446,VEH-023,EMP-0023,,BR-005,Indore,Morbi,515,2026-07-13 10:00:00,2026-07-15,1000,400,1450,Completed
TRP-2331,BKG-4447,VEH-034,EMP-0020,VND-0030,BR-009,Kanpur,Indore,614,2026-08-12 10:00:00,2026-08-17,1000,400,1350,Completed
TRP-2332,BKG-4449,VEH-015,EMP-0015,VND-0018,BR-006,Raipur,Bhopal,488,2026-08-27 14:00:00,2026-08-30,1000,400,1300,Planned
TRP-2333,BKG-4451,VEH-055,EMP-0048,,BR-011,Bhopal,Kanpur,461,2026-08-11 14:00:00,2026-08-15,1000,400,1250,Completed
TRP-2334,BKG-4452,VEH-041,EMP-0026,VND-0009,BR-002,Delhi,Pune,1176,2026-08-21 14:00:00,2026-08-23,1000,400,1200,Completed
TRP-2335,BKG-4453,VEH-055,EMP-0048,,BR-017,Gurugram,Nagpur,839,2026-08-15 11:00:00,2026-08-20,1000,400,1500,Completed
TRP-2336,BKG-4455,VEH-058,EMP-0013,,BR-009,Kanpur,Delhi,392,2026-08-18 17:00:00,2026-08-22,1000,400,1500,Completed
TRP-2337,BKG-4456,VEH-029,EMP-0017,,BR-001,Nagpur,Kanpur,603,2026-07-05 18:00:00,2026-07-10,1000,400,1750,Completed
TRP-2338,BKG-4457,VEH-052,EMP-0032,,BR-010,Nashik,Bhopal,521,2026-07-29 11:00:00,2026-08-03,1000,400,1300,Completed
TRP-2339,BKG-4458,VEH-047,EMP-0041,VND-0008,BR-010,Nashik,Kolkata,1536,2026-08-12 09:00:00,2026-08-14,1000,400,1450,Completed
TRP-2340,BKG-4459,VEH-036,EMP-0003,,BR-004,Pune,Bengaluru,735,2026-08-26 13:00:00,2026-08-28,1000,400,1350,Planned
TRP-2341,BKG-4460,VEH-029,EMP-0017,,BR-001,Nagpur,Lucknow,661,2026-08-28 10:00:00,2026-09-01,1000,400,1350,Running
TRP-2342,BKG-4461,VEH-043,EMP-0045,,BR-017,Gurugram,Mumbai,1125,2026-07-23 15:00:00,2026-07-25,1000,400,1650,Completed
TRP-2343,BKG-4462,VEH-055,EMP-0048,,BR-005,Indore,Nagpur,376,2026-08-02 09:00:00,2026-08-06,1000,400,1350,Completed
TRP-2344,BKG-4463,VEH-013,EMP-0022,,BR-012,Lucknow,Raipur,626,2026-08-06 14:00:00,2026-08-11,1000,400,1500,Completed
TRP-2345,BKG-4464,VEH-022,EMP-0044,,BR-010,Nashik,Delhi,1022,2026-08-07 15:00:00,2026-08-10,1000,400,1500,Completed
TRP-2346,BKG-4465,VEH-061,EMP-0004,VND-0023,BR-012,Lucknow,Kanpur,75,2026-08-06 08:00:00,2026-08-11,1000,400,1600,Completed
TRP-2347,BKG-4466,VEH-023,EMP-0023,,BR-011,Bhopal,Kanpur,461,2026-08-07 20:00:00,2026-08-09,1000,400,1300,Completed
TRP-2348,BKG-4467,VEH-034,EMP-0042,VND-0030,BR-008,Surat,Nashik,164,2026-07-19 19:00:00,2026-07-23,1000,400,1550,Completed
TRP-2349,BKG-4468,VEH-019,EMP-0024,,BR-011,Bhopal,Morbi,675,2026-07-24 16:00:00,2026-07-26,1000,400,1250,Completed
TRP-2350,BKG-4469,VEH-055,EMP-0048,,BR-009,Kanpur,Bhopal,461,2026-08-09 12:00:00,2026-08-14,1000,400,1550,Completed
TRP-2351,BKG-4470,VEH-039,EMP-0033,,BR-008,Surat,Pune,314,2026-07-13 20:00:00,2026-07-15,1000,400,1350,Completed
TRP-2352,BKG-4471,VEH-012,EMP-0010,VND-0009,BR-001,Nagpur,Kolkata,970,2026-08-28 17:00:00,2026-08-30,1000,400,1400,At Hub
TRP-2353,BKG-4474,VEH-029,EMP-0017,,BR-009,Kanpur,Pune,1104,2026-08-14 07:00:00,2026-08-19,1000,400,1550,Completed
TRP-2354,BKG-4475,VEH-025,EMP-0047,,BR-005,Indore,Mumbai,510,2026-08-16 15:00:00,2026-08-19,1000,400,1650,Completed
TRP-2355,BKG-4477,VEH-006,EMP-0005,,BR-016,Bengaluru,Gurugram,1723,2026-08-14 09:00:00,2026-08-19,1000,400,1600,Completed
TRP-2356,BKG-4478,VEH-015,EMP-0015,VND-0018,BR-015,Kolkata,Morbi,1797,2026-08-26 14:00:00,2026-08-28,1000,400,1200,Planned
TRP-2357,BKG-4479,VEH-027,EMP-0027,,BR-001,Nagpur,Raipur,264,2026-08-01 17:00:00,2026-08-04,1000,400,1250,Completed
TRP-2358,BKG-4480,VEH-017,EMP-0014,,BR-004,Pune,Surat,314,2026-08-08 17:00:00,2026-08-10,1000,400,1600,Completed
TRP-2359,BKG-4481,VEH-027,EMP-0035,,BR-015,Kolkata,Jaipur,1358,2026-07-22 16:00:00,2026-07-26,1000,400,1350,Completed
TRP-2360,BKG-4482,VEH-008,EMP-0011,,BR-013,Ahmedabad,Pune,518,2026-08-14 18:00:00,2026-08-19,1000,400,1750,Completed
TRP-2361,BKG-4483,VEH-011,EMP-0008,,BR-005,Indore,Raipur,617,2026-08-24 19:00:00,2026-08-29,1000,400,1450,Completed
TRP-2362,BKG-4484,VEH-026,EMP-0031,,BR-010,Nashik,Nagpur,566,2026-08-05 08:00:00,2026-08-07,1000,400,1350,Completed
TRP-2363,BKG-4485,VEH-047,EMP-0038,VND-0008,BR-006,Raipur,Bhopal,488,2026-08-03 17:00:00,2026-08-08,1000,400,1700,Completed
TRP-2364,BKG-4486,VEH-024,EMP-0021,VND-0024,BR-016,Bengaluru,Bhopal,1144,2026-08-02 15:00:00,2026-08-07,1000,400,1600,Completed
TRP-2365,BKG-4487,VEH-049,EMP-0020,VND-0031,BR-014,Hyderabad,Pune,506,2026-08-30 17:00:00,2026-09-01,1000,400,1550,Planned
TRP-2366,BKG-4488,VEH-055,EMP-0048,,BR-004,Pune,Delhi,1176,2026-08-11 09:00:00,2026-08-14,1000,400,1750,Completed
TRP-2367,BKG-4489,VEH-012,EMP-0010,VND-0009,BR-011,Bhopal,Bengaluru,1144,2026-08-24 09:00:00,2026-08-27,1000,400,1500,At Hub
TRP-2368,BKG-4490,VEH-059,EMP-0046,,BR-009,Kanpur,Kolkata,920,2026-08-27 14:00:00,2026-08-31,1000,400,1650,Planned
TRP-2369,BKG-4491,VEH-015,EMP-0015,VND-0018,BR-015,Kolkata,Lucknow,887,2026-08-17 06:00:00,2026-08-21,1000,400,1700,Completed
TRP-2370,BKG-4492,VEH-060,EMP-0040,VND-0024,BR-011,Bhopal,Nagpur,291,2026-08-28 06:00:00,2026-09-01,1000,400,1600,Running
TRP-2371,BKG-4493,VEH-033,EMP-0005,VND-0029,BR-006,Raipur,Delhi,935,2026-08-26 09:00:00,2026-08-29,1000,400,1350,At Hub
TRP-2372,BKG-4494,VEH-027,EMP-0036,,BR-001,Nagpur,Morbi,871,2026-07-21 14:00:00,2026-07-26,1000,400,1200,Completed
TRP-2373,BKG-4495,VEH-003,EMP-0009,VND-0008,BR-010,Nashik,Kolkata,1536,2026-07-28 14:00:00,2026-08-01,1000,400,1600,Completed
TRP-2374,BKG-4496,VEH-047,EMP-0018,VND-0008,BR-012,Lucknow,Surat,1038,2026-08-07 17:00:00,2026-08-09,1000,400,1200,Completed
TRP-2375,BKG-4497,VEH-059,EMP-0046,,BR-015,Kolkata,Lucknow,887,2026-07-11 14:00:00,2026-07-15,1000,400,1350,Completed
TRP-2376,BKG-4499,VEH-034,EMP-0029,VND-0030,BR-001,Nagpur,Gurugram,839,2026-08-26 09:00:00,2026-08-29,1000,400,1250,At Hub
TRP-2377,BKG-4501,VEH-009,EMP-0019,VND-0028,BR-004,Pune,Nagpur,620,2026-07-14 19:00:00,2026-07-16,1000,400,1250,Completed
TRP-2378,BKG-4502,VEH-023,EMP-0023,,BR-006,Raipur,Bengaluru,1015,2026-08-14 14:00:00,2026-08-17,1000,400,1550,Completed
TRP-2379,BKG-4503,VEH-016,EMP-0028,,BR-014,Hyderabad,Bengaluru,500,2026-07-04 13:00:00,2026-07-06,1000,400,1400,Completed
TRP-2380,BKG-4504,VEH-042,EMP-0042,,BR-013,Ahmedabad,Jaipur,540,2026-08-15 11:00:00,2026-08-19,1000,400,1350,Completed
TRP-2381,BKG-4505,VEH-003,EMP-0009,VND-0008,BR-010,Nashik,Delhi,1022,2026-08-23 16:00:00,2026-08-28,1000,400,1350,Completed
TRP-2382,BKG-4506,VEH-015,EMP-0015,VND-0018,BR-014,Hyderabad,Nashik,574,2026-08-13 12:00:00,2026-08-18,1000,400,1300,Completed
TRP-2383,BKG-4507,VEH-014,EMP-0002,VND-0019,BR-011,Bhopal,Jaipur,438,2026-08-17 07:00:00,2026-08-20,1000,400,1250,Completed
TRP-2384,BKG-4508,VEH-060,EMP-0042,VND-0024,BR-009,Kanpur,Bhopal,461,2026-08-28 06:00:00,2026-09-02,1000,400,1300,At Hub
TRP-2385,BKG-4510,VEH-001,EMP-0004,VND-0034,BR-011,Bhopal,Lucknow,535,2026-08-22 10:00:00,2026-08-26,1000,400,1400,Completed
TRP-2386,BKG-4511,VEH-032,EMP-0039,VND-0015,BR-011,Bhopal,Nashik,521,2026-07-30 18:00:00,2026-08-02,1000,400,1450,Completed
TRP-2387,BKG-4512,VEH-033,EMP-0026,VND-0029,BR-004,Pune,Indore,511,2026-07-12 12:00:00,2026-07-17,1000,400,1200,Completed
TRP-2388,BKG-4513,VEH-036,EMP-0039,,BR-001,Nagpur,Gurugram,839,2026-08-03 17:00:00,2026-08-06,1000,400,1500,Completed
TRP-2389,BKG-4514,VEH-031,EMP-0038,VND-0029,BR-001,Nagpur,Gurugram,839,2026-08-28 13:00:00,2026-09-02,1000,400,1650,Planned
TRP-2390,BKG-4515,VEH-013,EMP-0022,,BR-004,Pune,Kanpur,1104,2026-07-18 12:00:00,2026-07-22,1000,400,1750,Completed
TRP-2391,BKG-4516,VEH-009,EMP-0019,VND-0028,BR-013,Ahmedabad,Kanpur,871,2026-08-29 16:00:00,2026-09-03,1000,400,1350,Running
TRP-2392,BKG-4517,VEH-022,EMP-0044,,BR-008,Surat,Kanpur,962,2026-08-03 14:00:00,2026-08-06,1000,400,1650,Completed
TRP-2393,BKG-4518,VEH-024,EMP-0021,VND-0024,BR-015,Kolkata,Pune,1575,2026-08-10 17:00:00,2026-08-12,1000,400,1200,Completed
TRP-2394,BKG-4519,VEH-059,EMP-0046,,BR-005,Indore,Raipur,617,2026-08-10 20:00:00,2026-08-14,1000,400,1250,Completed
TRP-2395,BKG-4520,VEH-032,EMP-0039,VND-0015,BR-008,Surat,Kanpur,962,2026-07-28 14:00:00,2026-08-02,1000,400,1700,Completed
TRP-2396,BKG-4521,VEH-014,EMP-0002,VND-0019,BR-012,Lucknow,Hyderabad,1082,2026-07-23 17:00:00,2026-07-25,1000,400,1500,Completed
TRP-2397,BKG-4522,VEH-034,EMP-0033,VND-0030,BR-016,Bengaluru,Kanpur,1526,2026-08-13 11:00:00,2026-08-17,1000,400,1400,Completed
TRP-2398,BKG-4523,VEH-034,EMP-0025,VND-0030,BR-013,Ahmedabad,Morbi,179,2026-07-24 14:00:00,2026-07-28,1000,400,1650,Completed
TRP-2399,BKG-4524,VEH-050,EMP-0022,,BR-017,Gurugram,Surat,914,2026-08-28 16:00:00,2026-09-01,1000,400,1500,Planned
TRP-2400,BKG-4525,VEH-058,EMP-0013,,BR-010,Nashik,Jaipur,795,2026-07-07 17:00:00,2026-07-10,1000,400,1250,Completed
TRP-2401,BKG-4526,VEH-038,EMP-0043,VND-0007,BR-010,Nashik,Kanpur,980,2026-07-14 19:00:00,2026-07-17,1000,400,1400,Completed
TRP-2402,BKG-4527,VEH-028,EMP-0047,VND-0027,BR-007,Jaipur,Lucknow,512,2026-07-20 10:00:00,2026-07-25,1000,400,1700,Completed
TRP-2403,BKG-4528,VEH-017,EMP-0014,,BR-005,Indore,Raipur,617,2026-08-18 10:00:00,2026-08-20,1000,400,1700,Completed
TRP-2404,BKG-4529,VEH-025,EMP-0047,,BR-007,Jaipur,Surat,705,2026-08-24 07:00:00,2026-08-29,1000,400,1500,Completed
TRP-2405,BKG-4530,VEH-017,EMP-0014,,BR-017,Gurugram,Nashik,996,2026-08-21 12:00:00,2026-08-25,1000,400,1300,At Hub
TRP-2406,BKG-4531,VEH-006,EMP-0005,,BR-005,Indore,Bhopal,170,2026-08-03 12:00:00,2026-08-07,1000,400,1250,Completed
TRP-2407,BKG-4532,VEH-045,EMP-0029,,BR-012,Lucknow,Bhopal,535,2026-08-16 14:00:00,2026-08-18,1000,400,1350,Completed
TRP-2408,BKG-4533,VEH-012,EMP-0010,VND-0009,BR-009,Kanpur,Kolkata,920,2026-08-11 09:00:00,2026-08-15,1000,400,1400,Completed
TRP-2409,BKG-4534,VEH-008,EMP-0011,,BR-012,Lucknow,Mumbai,1195,2026-08-18 15:00:00,2026-08-22,1000,400,1700,Completed
TRP-2410,BKG-4535,VEH-019,EMP-0024,,BR-016,Bengaluru,Kanpur,1526,2026-08-07 19:00:00,2026-08-09,1000,400,1350,Completed
TRP-2411,BKG-4537,VEH-023,EMP-0023,,BR-011,Bhopal,Nashik,521,2026-07-20 16:00:00,2026-07-24,1000,400,1300,Completed
TRP-2412,BKG-4538,VEH-009,EMP-0019,VND-0028,BR-011,Bhopal,Lucknow,535,2026-08-22 12:00:00,2026-08-26,1000,400,1200,Completed
TRP-2413,BKG-4539,VEH-028,EMP-0013,VND-0027,BR-014,Hyderabad,Bengaluru,500,2026-07-25 14:00:00,2026-07-30,1000,400,1500,Completed
TRP-2414,BKG-4540,VEH-049,EMP-0017,VND-0031,BR-010,Nashik,Bhopal,521,2026-07-25 20:00:00,2026-07-29,1000,400,1450,Completed
TRP-2415,BKG-4541,VEH-047,EMP-0038,VND-0008,BR-001,Nagpur,Delhi,855,2026-08-08 09:00:00,2026-08-12,1000,400,1400,Completed
TRP-2416,BKG-4542,VEH-036,EMP-0048,,BR-008,Surat,Raipur,912,2026-08-28 11:00:00,2026-08-30,1000,400,1200,Planned
