cn_no,lr_no,booking_no,trip_no,client_id,vehicle_id,driver_id,branch_id,origin_city,dest_city,origin_addr,dest_addr,weight_t,freight,dispatch_date,expected_delivery,delivered_date,parent_cn_no,status
CN-90618,LR-8618,BKG-4328,TRP-2218,CUST-0207,VEH-021,EMP-0025,BR-002,Delhi,Kanpur,"Gate 2, Delhi","Depot, Kanpur",4.1,5500,2026-08-21,2026-08-25,,,At Hub
CN-90619,LR-8619,BKG-4329,TRP-2219,CUST-0058,VEH-057,EMP-0016,BR-007,Jaipur,Kolkata,"Gate 2, Jaipur","Godown, Kolkata",6,11800,2026-08-25,2026-08-30,,,At Hub
CN-90620,LR-8620,BKG-4330,TRP-2220,CUST-0206,VEH-036,EMP-0014,BR-011,Bhopal,Kolkata,"Gate 2, Bhopal","Godown, Kolkata",8.6,14200,2026-07-13,2026-07-17,2026-07-17,,Delivered
CN-90621,LR-8621,BKG-4331,TRP-2221,CUST-0186,VEH-022,EMP-0044,BR-011,Bhopal,Gurugram,"Gate 5, Bhopal","Godown, Gurugram",3.9,6000,2026-07-26,2026-07-29,2026-07-29,,Delivered
CN-90622,LR-8622,BKG-4332,TRP-2222,CUST-0034,VEH-033,EMP-0014,BR-012,Lucknow,Nagpur,"Gate 4, Lucknow","Depot, Nagpur",10.3,12400,2026-08-27,2026-09-01,,,In Prep
CN-90623,LR-8623,BKG-4333,TRP-2223,CUST-0093,VEH-059,EMP-0046,BR-001,Nagpur,Lucknow,"Gate 2, Nagpur","Warehouse, Lucknow",4.4,6700,2026-08-21,2026-08-24,,,Dispatched
CN-90624,LR-8624,BKG-4334,TRP-2224,CUST-0024,VEH-023,EMP-0023,BR-015,Kolkata,Lucknow,"Gate 2, Kolkata","Godown, Lucknow",8.2,12000,2026-08-23,2026-08-26,2026-08-26,,Delivered
CN-90625,LR-8625,BKG-4335,TRP-2225,CUST-0131,VEH-014,EMP-0002,BR-004,Pune,Morbi,"Gate 5, Pune","Godown, Morbi",19.7,19900,2026-08-14,2026-08-18,2026-08-18,,Delivered
CN-90626,LR-8626,BKG-4336,TRP-2226,CUST-0104,VEH-044,EMP-0038,BR-007,Jaipur,Pune,"Gate 5, Jaipur","Godown, Pune",7.2,11200,2026-08-20,2026-08-25,2026-08-25,,Delivered
CN-90627,LR-8627,BKG-4337,TRP-2227,CUST-0143,VEH-015,EMP-0015,BR-001,Nagpur,Indore,"Gate 2, Nagpur","Depot, Indore",14.1,12700,2026-08-08,2026-08-13,2026-08-13,,Delivered
CN-90628,LR-8628,BKG-4338,TRP-2228,CUST-0175,VEH-009,EMP-0019,BR-008,Surat,Hyderabad,"Gate 2, Surat","Godown, Hyderabad",6.6,9200,2026-08-27,2026-08-31,,,In Prep
CN-90629,LR-8629,BKG-4339,TRP-2229,CUST-0104,VEH-003,EMP-0009,BR-007,Jaipur,Raipur,"Gate 5, Jaipur","Depot, Raipur",15.8,20400,2026-08-17,2026-08-20,2026-08-20,,Delivered
CN-90630,LR-8630,BKG-4340,TRP-2230,CUST-0102,VEH-062,EMP-0032,BR-018,Morbi,Bengaluru,"Gate 6, Morbi","Warehouse, Bengaluru",19.7,32300,2026-08-31,2026-09-02,,,In Prep
CN-90631,LR-8631,BKG-4341,TRP-2231,CUST-0078,VEH-012,EMP-0010,BR-012,Lucknow,Bengaluru,"Gate 6, Lucknow","Godown, Bengaluru",15,28700,2026-08-25,2026-08-27,2026-08-27,,Delivered
CN-90632,LR-8632,BKG-4342,TRP-2232,CUST-0173,VEH-061,EMP-0034,BR-016,Bengaluru,Surat,"Gate 3, Bengaluru","Godown, Surat",6.7,11100,2026-08-02,2026-08-07,2026-08-07,,Delivered
CN-90633,LR-8633,BKG-4343,TRP-2233,CUST-0088,VEH-019,EMP-0024,BR-001,Nagpur,Hyderabad,"Gate 6, Nagpur","Warehouse, Hyderabad",5.3,6500,2026-08-07,2026-08-12,2026-08-12,,Delivered
CN-90634,LR-8634,BKG-4344,TRP-2234,CUST-0103,VEH-036,EMP-0039,BR-011,Bhopal,Gurugram,"Gate 5, Bhopal","Warehouse, Gurugram",25.7,25400,2026-08-21,2026-08-23,,,At Hub
CN-90635,LR-8635,BKG-4345,TRP-2235,CUST-0020,VEH-049,EMP-0048,BR-001,Nagpur,Bengaluru,"Gate 3, Nagpur","Warehouse, Bengaluru",14.2,19300,2026-07-09,2026-07-13,2026-07-13,,Delivered
CN-90636,LR-8636,BKG-4346,TRP-2236,CUST-0048,VEH-030,EMP-0027,BR-005,Indore,Lucknow,"Gate 2, Indore","Godown, Lucknow",30,32100,2026-07-28,2026-08-01,2026-08-01,,Delivered
CN-90637,LR-8637,BKG-4347,TRP-2237,CUST-0035,VEH-042,EMP-0042,BR-008,Surat,Pune,"Gate 3, Surat","Depot, Pune",20.4,16100,2026-08-14,2026-08-19,2026-08-19,,Delivered
CN-90638,LR-8638,BKG-4348,TRP-2238,CUST-0049,VEH-057,EMP-0028,BR-016,Bengaluru,Lucknow,"Gate 3, Bengaluru","Warehouse, Lucknow",8.1,16600,2026-07-25,2026-07-29,2026-07-29,,Delivered
CN-90639,LR-8639,BKG-4349,TRP-2239,CUST-0125,VEH-030,EMP-0027,BR-010,Nashik,Hyderabad,"Gate 4, Nashik","Warehouse, Hyderabad",26.6,26100,2026-08-05,2026-08-08,2026-08-08,,Delivered
CN-90640,LR-8640,BKG-4351,TRP-2240,CUST-0099,VEH-042,EMP-0042,BR-010,Nashik,Surat,"Gate 3, Nashik","Warehouse, Surat",12.9,9500,2026-08-13,2026-08-18,2026-08-18,,Delivered
CN-90641,LR-8641,BKG-4352,TRP-2241,CUST-0201,VEH-010,EMP-0016,BR-014,Hyderabad,Kolkata,"Gate 6, Hyderabad","Warehouse, Kolkata",6.7,11900,2026-08-16,2026-08-20,2026-08-20,,Delivered
CN-90642,LR-8642,BKG-4355,TRP-2242,CUST-0080,VEH-030,EMP-0027,BR-012,Lucknow,Nashik,"Gate 6, Lucknow","Godown, Nashik",23.9,33500,2026-08-05,2026-08-08,2026-08-08,,Delivered
CN-90643,LR-8643,BKG-4356,TRP-2243,CUST-0122,VEH-013,EMP-0022,BR-017,Gurugram,Mumbai,"Gate 3, Gurugram","Depot, Mumbai",29.2,42100,2026-08-08,2026-08-10,2026-08-10,,Delivered
CN-90644,LR-8644,BKG-4357,TRP-2244,CUST-0087,VEH-031,EMP-0028,BR-008,Surat,Jaipur,"Gate 1, Surat","Warehouse, Jaipur",16.2,18700,2026-07-04,2026-07-06,2026-07-06,,Delivered
CN-90645,LR-8645,BKG-4358,TRP-2245,CUST-0201,VEH-057,EMP-0028,BR-014,Hyderabad,Nagpur,"Gate 6, Hyderabad","Godown, Nagpur",9.5,9700,2026-08-19,2026-08-22,2026-08-22,,Delivered
CN-90646,LR-8646,BKG-4359,TRP-2246,CUST-0145,VEH-015,EMP-0015,BR-011,Bhopal,Morbi,"Gate 1, Bhopal","Depot, Morbi",6.7,9000,2026-08-28,2026-09-01,,,In Prep
CN-90647,LR-8647,BKG-4360,TRP-2247,CUST-0034,VEH-030,EMP-0027,BR-012,Lucknow,Raipur,"Gate 4, Lucknow","Warehouse, Raipur",8.3,10200,2026-08-08,2026-08-13,2026-08-13,,Delivered
CN-90648,LR-8648,BKG-4361,TRP-2248,CUST-0105,VEH-030,EMP-0027,BR-001,Nagpur,Gurugram,"Gate 5, Nagpur","Godown, Gurugram",21.9,26900,2026-08-21,2026-08-23,,,Out for Delivery
CN-90649,LR-8649,BKG-4362,TRP-2249,CUST-0154,VEH-009,EMP-0019,BR-011,Bhopal,Lucknow,"Gate 2, Bhopal","Godown, Lucknow",21.4,20800,2026-07-28,2026-08-01,2026-08-01,,Delivered
CN-90650,LR-8650,BKG-4363,TRP-2250,CUST-0118,VEH-030,EMP-0027,BR-013,Ahmedabad,Bengaluru,"Gate 2, Ahmedabad","Warehouse, Bengaluru",24.7,38300,2026-08-17,2026-08-20,2026-08-20,,Delivered
CN-90651,LR-8651,BKG-4364,TRP-2251,CUST-0148,VEH-011,EMP-0008,BR-016,Bengaluru,Surat,"Gate 1, Bengaluru","Godown, Surat",5.5,9600,2026-08-14,2026-08-17,2026-08-17,,Delivered
CN-90652,LR-8652,BKG-4365,TRP-2252,CUST-0116,VEH-037,EMP-0007,BR-010,Nashik,Kolkata,"Gate 4, Nashik","Depot, Kolkata",10,19600,2026-07-28,2026-08-02,2026-08-02,,Delivered
CN-90653,LR-8653,BKG-4366,TRP-2253,CUST-0161,VEH-019,EMP-0024,BR-005,Indore,Nagpur,"Gate 6, Indore","Depot, Nagpur",17.3,15000,2026-07-14,2026-07-19,2026-07-19,,Delivered
CN-90654,LR-8654,BKG-4367,TRP-2254,CUST-0145,VEH-062,EMP-0021,BR-011,Bhopal,Nagpur,"Gate 1, Bhopal","Warehouse, Nagpur",16.5,13200,2026-07-13,2026-07-17,2026-07-17,,Delivered
CN-90655,LR-8655,BKG-4368,TRP-2255,CUST-0058,VEH-024,EMP-0021,BR-007,Jaipur,Hyderabad,"Gate 2, Jaipur","Depot, Hyderabad",10.2,16100,2026-07-18,2026-07-23,2026-07-23,,Delivered
CN-90656,LR-8656,BKG-4369,TRP-2256,CUST-0050,VEH-002,EMP-0001,BR-014,Hyderabad,Jaipur,"Gate 1, Hyderabad","Warehouse, Jaipur",10.2,16100,2026-08-04,2026-08-09,2026-08-09,,Delivered
CN-90657,LR-8657,BKG-4370,TRP-2257,CUST-0013,VEH-005,EMP-0020,BR-012,Lucknow,Kolkata,"Gate 1, Lucknow","Depot, Kolkata",11.6,15900,2026-07-17,2026-07-22,2026-07-22,,Delivered
CN-90658,LR-8658,BKG-4371,TRP-2258,CUST-0079,VEH-037,EMP-0007,BR-018,Morbi,Lucknow,"Gate 4, Morbi","Godown, Lucknow",13.9,21200,2026-07-28,2026-07-30,2026-07-30,,Delivered
CN-90659,LR-8659,BKG-4372,TRP-2259,CUST-0017,VEH-024,EMP-0021,BR-013,Ahmedabad,Raipur,"Gate 3, Ahmedabad","Godown, Raipur",22.3,29500,2026-08-10,2026-08-14,2026-08-14,,Delivered
CN-90660,LR-8660,BKG-4373,TRP-2260,CUST-0170,VEH-021,EMP-0025,BR-014,Hyderabad,Mumbai,"Gate 2, Hyderabad","Warehouse, Mumbai",8.3,10200,2026-07-26,2026-07-28,2026-07-28,,Delivered
CN-90661,LR-8661,BKG-4374,TRP-2261,CUST-0053,VEH-049,EMP-0032,BR-010,Nashik,Surat,"Gate 4, Nashik","Depot, Surat",10.2,8000,2026-08-29,2026-09-01,,,Dispatched
CN-90662,LR-8662,BKG-4375,TRP-2262,CUST-0123,VEH-061,EMP-0035,BR-018,Morbi,Lucknow,"Gate 4, Morbi","Warehouse, Lucknow",18.6,27600,2026-08-26,2026-08-29,,,Dispatched
CN-90663,LR-8663,BKG-4376,TRP-2263,CUST-0164,VEH-009,EMP-0019,BR-002,Delhi,Nashik,"Gate 4, Delhi","Depot, Nashik",7.3,11800,2026-08-19,2026-08-24,2026-08-24,,Delivered
CN-90664,LR-8664,BKG-4377,TRP-2264,CUST-0072,VEH-037,EMP-0007,BR-005,Indore,Mumbai,"Gate 3, Indore","Depot, Mumbai",12.4,12800,2026-07-14,2026-07-16,2026-07-16,,Delivered
CN-90665,LR-8665,BKG-4378,TRP-2265,CUST-0022,VEH-010,EMP-0016,BR-011,Bhopal,Surat,"Gate 3, Bhopal","Depot, Surat",10.5,11400,2026-08-25,2026-08-30,2026-08-30,,Delivered
CN-90666,LR-8666,BKG-4379,TRP-2266,CUST-0114,VEH-062,EMP-0018,BR-006,Raipur,Jaipur,"Gate 2, Raipur","Warehouse, Jaipur",12.5,16700,2026-08-16,2026-08-20,2026-08-20,,Delivered
CN-90667,LR-8667,BKG-4380,TRP-2267,CUST-0005,VEH-036,EMP-0025,BR-013,Ahmedabad,Kolkata,"Gate 4, Ahmedabad","Godown, Kolkata",16.2,31300,2026-08-07,2026-08-09,2026-08-09,,Delivered
CN-90668,LR-8668,BKG-4381,TRP-2268,CUST-0014,VEH-023,EMP-0023,BR-011,Bhopal,Mumbai,"Gate 2, Bhopal","Godown, Mumbai",7.8,10000,2026-08-05,2026-08-10,2026-08-10,,Delivered
CN-90669,LR-8669,BKG-4382,TRP-2269,CUST-0047,VEH-014,EMP-0002,BR-007,Jaipur,Nagpur,"Gate 2, Jaipur","Warehouse, Nagpur",12.2,14900,2026-08-10,2026-08-12,2026-08-12,,Delivered
CN-90670,LR-8670,BKG-4383,TRP-2270,CUST-0154,VEH-059,EMP-0046,BR-011,Bhopal,Nashik,"Gate 2, Bhopal","Godown, Nashik",7.7,9000,2026-08-14,2026-08-19,2026-08-19,,Delivered
CN-90671,LR-8671,BKG-4384,TRP-2271,CUST-0010,VEH-015,EMP-0015,BR-012,Lucknow,Pune,"Gate 6, Lucknow","Depot, Pune",11.1,18000,2026-08-03,2026-08-08,2026-08-08,,Delivered
CN-90672,LR-8672,BKG-4385,TRP-2272,CUST-0206,VEH-049,EMP-0046,BR-011,Bhopal,Morbi,"Gate 2, Bhopal","Depot, Morbi",11.6,13800,2026-08-23,2026-08-26,,,Out for Delivery
CN-90673,LR-8673,BKG-4387,TRP-2273,CUST-0029,VEH-052,EMP-0032,BR-017,Gurugram,Delhi,"Gate 2, Gurugram","Warehouse, Delhi",12.4,7800,2026-08-21,2026-08-25,2026-08-25,,Delivered
CN-90674,LR-8674,BKG-4388,TRP-2274,CUST-0170,VEH-004,EMP-0003,BR-014,Hyderabad,Ahmedabad,"Gate 2, Hyderabad","Godown, Ahmedabad",5.4,8700,2026-08-03,2026-08-06,2026-08-06,,Delivered
CN-90675,LR-8675,BKG-4389,TRP-2275,CUST-0181,VEH-022,EMP-0044,BR-001,Nagpur,Delhi,"Gate 1, Nagpur","Warehouse, Delhi",18.3,23100,2026-08-22,2026-08-26,2026-08-26,,Delivered
CN-90676,LR-8676,BKG-4390,TRP-2276,CUST-0184,VEH-045,EMP-0029,BR-013,Ahmedabad,Kanpur,"Gate 3, Ahmedabad","Godown, Kanpur",6.2,9600,2026-07-27,2026-08-01,2026-08-01,,Delivered
CN-90677,LR-8677,BKG-4391,TRP-2277,CUST-0060,VEH-039,EMP-0033,BR-008,Surat,Kanpur,"Gate 3, Surat","Depot, Kanpur",2.6,5700,2026-07-29,2026-07-31,2026-07-31,,Delivered
CN-90678,LR-8678,BKG-4392,TRP-2278,CUST-0101,VEH-027,EMP-0007,BR-008,Surat,Bhopal,"Gate 2, Surat","Godown, Bhopal",20.3,19700,2026-08-13,2026-08-17,2026-08-17,,Delivered
CN-90679,LR-8679,BKG-4393,TRP-2279,CUST-0040,VEH-060,EMP-0009,BR-013,Ahmedabad,Bengaluru,"Gate 6, Ahmedabad","Depot, Bengaluru",13.5,22100,2026-08-22,2026-08-25,2026-08-25,,Delivered
CN-90680,LR-8680,BKG-4394,TRP-2280,CUST-0019,VEH-040,EMP-0036,BR-010,Nashik,Mumbai,"Gate 3, Nashik","Depot, Mumbai",13.8,9700,2026-08-22,2026-08-24,2026-08-24,,Delivered
CN-90681,LR-8681,BKG-4396,TRP-2281,CUST-0033,VEH-011,EMP-0008,BR-005,Indore,Lucknow,"Gate 1, Indore","Godown, Lucknow",13.6,15900,2026-08-20,2026-08-23,,,Out for Delivery
CN-90682,LR-8682,BKG-4397,TRP-2282,CUST-0129,VEH-006,EMP-0005,BR-001,Nagpur,Morbi,"Gate 2, Nagpur","Godown, Morbi",2.4,5200,2026-08-04,2026-08-06,2026-08-06,,Delivered
CN-90683,LR-8683,BKG-4398,TRP-2283,CUST-0080,VEH-027,EMP-0026,BR-012,Lucknow,Ahmedabad,"Gate 6, Lucknow","Warehouse, Ahmedabad",5,8500,2026-07-26,2026-07-31,2026-07-31,,Delivered
CN-90684,LR-8684,BKG-4399,TRP-2284,CUST-0016,VEH-050,EMP-0034,BR-001,Nagpur,Bhopal,"Gate 5, Nagpur","Warehouse, Bhopal",16,12900,2026-08-17,2026-08-20,2026-08-20,,Delivered
CN-90685,LR-8685,BKG-4400,TRP-2285,CUST-0121,VEH-023,EMP-0023,BR-010,Nashik,Raipur,"Gate 1, Nashik","Warehouse, Raipur",19.4,23900,2026-08-03,2026-08-06,2026-08-06,,Delivered
CN-90686,LR-8686,BKG-4402,TRP-2286,CUST-0070,VEH-051,EMP-0006,BR-011,Bhopal,Jaipur,"Gate 1, Bhopal","Warehouse, Jaipur",6.5,7500,2026-08-03,2026-08-06,2026-08-06,,Delivered
CN-90687,LR-8687,BKG-4403,TRP-2287,CUST-0126,VEH-017,EMP-0014,BR-010,Nashik,Pune,"Gate 2, Nashik","Godown, Pune",13.6,9800,2026-08-05,2026-08-08,2026-08-08,,Delivered
CN-90688,LR-8688,BKG-4404,TRP-2288,CUST-0157,VEH-004,EMP-0003,BR-006,Raipur,Gurugram,"Gate 6, Raipur","Godown, Gurugram",12.9,17800,2026-07-18,2026-07-20,2026-07-20,,Delivered
CN-90689,LR-8689,BKG-4405,TRP-2289,CUST-0173,VEH-001,EMP-0004,BR-016,Bengaluru,Nagpur,"Gate 3, Bengaluru","Godown, Nagpur",9.4,13600,2026-08-05,2026-08-07,2026-08-07,,Delivered
CN-90690,LR-8690,BKG-4406,TRP-2290,CUST-0188,VEH-004,EMP-0003,BR-004,Pune,Kolkata,"Gate 3, Pune","Warehouse, Kolkata",10.5,20800,2026-08-20,2026-08-25,2026-08-25,,Delivered
CN-90691,LR-8691,BKG-4407,TRP-2291,CUST-0096,VEH-038,EMP-0043,BR-010,Nashik,Mumbai,"Gate 4, Nashik","Depot, Mumbai",7.3,6300,2026-08-23,2026-08-26,,,Out for Delivery
CN-90692,LR-8692,BKG-4408,TRP-2292,CUST-0130,VEH-032,EMP-0039,BR-013,Ahmedabad,Raipur,"Gate 2, Ahmedabad","Depot, Raipur",11.1,15900,2026-07-23,2026-07-26,2026-07-26,,Delivered
CN-90693,LR-8693,BKG-4409,TRP-2293,CUST-0039,VEH-011,EMP-0008,BR-014,Hyderabad,Raipur,"Gate 5, Hyderabad","Warehouse, Raipur",4.6,6500,2026-08-02,2026-08-07,2026-08-07,,Delivered
CN-90694,LR-8694,BKG-4410,TRP-2294,CUST-0108,VEH-024,EMP-0021,BR-014,Hyderabad,Morbi,"Gate 6, Hyderabad","Depot, Morbi",10.6,15800,2026-07-21,2026-07-25,2026-07-25,,Delivered
CN-90695,LR-8695,BKG-4411,TRP-2295,CUST-0151,VEH-023,EMP-0023,BR-010,Nashik,Hyderabad,"Gate 2, Nashik","Godown, Hyderabad",12.9,13900,2026-08-26,2026-08-30,,,In Prep
CN-90696,LR-8696,BKG-4412,TRP-2296,CUST-0124,VEH-059,EMP-0046,BR-003,Mumbai,Lucknow,"Gate 3, Mumbai","Godown, Lucknow",14.7,23300,2026-08-03,2026-08-06,2026-08-06,,Delivered
CN-90697,LR-8697,BKG-4413,TRP-2297,CUST-0042,VEH-017,EMP-0014,BR-016,Bengaluru,Kolkata,"Gate 1, Bengaluru","Depot, Kolkata",2.5,6800,2026-08-26,2026-08-29,,,In Prep
CN-90698,LR-8698,BKG-4414,TRP-2298,CUST-0113,VEH-029,EMP-0017,BR-005,Indore,Ahmedabad,"Gate 2, Indore","Godown, Ahmedabad",14.7,12600,2026-08-26,2026-08-29,,,In Prep
CN-90699,LR-8699,BKG-4415,TRP-2299,CUST-0187,VEH-003,EMP-0009,BR-015,Kolkata,Delhi,"Gate 1, Kolkata","Depot, Delhi",6.6,12500,2026-08-05,2026-08-07,2026-08-07,,Delivered
CN-90700,LR-8700,BKG-4416,TRP-2300,CUST-0124,VEH-046,EMP-0020,BR-003,Mumbai,Pune,"Gate 3, Mumbai","Godown, Pune",3.9,4500,2026-08-27,2026-08-30,,,In Prep
CN-90701,LR-8701,BKG-4417,TRP-2301,CUST-0020,VEH-060,EMP-0042,BR-001,Nagpur,Delhi,"Gate 3, Nagpur","Godown, Delhi",8.3,11900,2026-07-13,2026-07-17,2026-07-17,,Delivered
CN-90702,LR-8702,BKG-4418,TRP-2302,CUST-0013,VEH-034,EMP-0008,BR-012,Lucknow,Indore,"Gate 1, Lucknow","Warehouse, Indore",12.8,15100,2026-08-19,2026-08-24,2026-08-24,,Delivered
CN-90703,LR-8703,BKG-4419,TRP-2303,CUST-0059,VEH-060,EMP-0029,BR-009,Kanpur,Mumbai,"Gate 3, Kanpur","Godown, Mumbai",8.5,14000,2026-08-24,2026-08-29,,,Dispatched
CN-90704,LR-8704,BKG-4420,TRP-2304,CUST-0208,VEH-041,EMP-0026,BR-009,Kanpur,Bhopal,"Gate 1, Kanpur","Godown, Bhopal",5.4,6800,2026-08-23,2026-08-26,2026-08-26,,Delivered
CN-90705,LR-8705,BKG-4421,TRP-2305,CUST-0070,VEH-002,EMP-0001,BR-011,Bhopal,Kolkata,"Gate 1, Bhopal","Warehouse, Kolkata",13.1,20300,2026-08-01,2026-08-05,2026-08-05,,Delivered
CN-90706,LR-8706,BKG-4422,TRP-2306,CUST-0072,VEH-028,EMP-0016,BR-005,Indore,Jaipur,"Gate 3, Indore","Godown, Jaipur",8.6,9300,2026-07-09,2026-07-11,2026-07-11,,Delivered
CN-90707,LR-8707,BKG-4423,TRP-2307,CUST-0069,VEH-021,EMP-0025,BR-016,Bengaluru,Raipur,"Gate 1, Bengaluru","Godown, Raipur",6.5,10700,2026-08-11,2026-08-16,2026-08-16,,Delivered
CN-90708,LR-8708,BKG-4424,TRP-2308,CUST-0190,VEH-033,EMP-0021,BR-015,Kolkata,Lucknow,"Gate 1, Kolkata","Warehouse, Lucknow",11.8,16100,2026-08-18,2026-08-23,2026-08-23,,Delivered
CN-90709,LR-8709,BKG-4425,TRP-2309,CUST-0204,VEH-005,EMP-0020,BR-007,Jaipur,Bengaluru,"Gate 2, Jaipur","Warehouse, Bengaluru",24.4,44600,2026-07-05,2026-07-10,2026-07-10,,Delivered
CN-90710,LR-8710,BKG-4426,TRP-2310,CUST-0091,VEH-036,EMP-0043,BR-001,Nagpur,Jaipur,"Gate 4, Nagpur","Warehouse, Jaipur",16.3,19000,2026-08-15,2026-08-20,2026-08-20,,Delivered
CN-90711,LR-8711,BKG-4427,TRP-2311,CUST-0114,VEH-036,EMP-0043,BR-006,Raipur,Kanpur,"Gate 2, Raipur","Warehouse, Kanpur",8.7,10400,2026-07-24,2026-07-29,2026-07-29,,Delivered
CN-90712,LR-8712,BKG-4428,TRP-2312,CUST-0056,VEH-012,EMP-0010,BR-005,Indore,Gurugram,"Gate 3, Indore","Depot, Gurugram",4.9,7200,2026-08-26,2026-08-28,,,At Hub
CN-90713,LR-8713,BKG-4429,TRP-2313,CUST-0133,VEH-053,EMP-0034,BR-006,Raipur,Jaipur,"Gate 5, Raipur","Warehouse, Jaipur",5.6,8900,2026-08-28,2026-09-01,,,In Prep
CN-90714,LR-8714,BKG-4430,TRP-2314,CUST-0098,VEH-026,EMP-0031,BR-001,Nagpur,Pune,"Gate 5, Nagpur","Warehouse, Pune",14.5,15900,2026-08-16,2026-08-20,2026-08-20,,Delivered
CN-90715,LR-8715,BKG-4431,TRP-2315,CUST-0132,VEH-030,EMP-0027,BR-003,Mumbai,Bengaluru,"Gate 6, Mumbai","Depot, Bengaluru",12.2,16100,2026-08-16,2026-08-20,2026-08-20,,Delivered
CN-90716,LR-8716,BKG-4432,TRP-2316,CUST-0007,VEH-030,EMP-0027,BR-001,Nagpur,Ahmedabad,"Gate 4, Nagpur","Godown, Ahmedabad",9.1,11600,2026-08-09,2026-08-13,2026-08-13,,Delivered
CN-90717,LR-8717,BKG-4433,TRP-2317,CUST-0150,VEH-016,EMP-0028,BR-014,Hyderabad,Gurugram,"Gate 3, Hyderabad","Depot, Gurugram",12.2,20200,2026-08-24,2026-08-28,2026-08-28,,Delivered
CN-90718,LR-8718,BKG-4434,TRP-2318,CUST-0074,VEH-013,EMP-0022,BR-007,Jaipur,Lucknow,"Gate 1, Jaipur","Warehouse, Lucknow",3,5000,2026-08-13,2026-08-15,2026-08-15,,Delivered
CN-90719,LR-8719,BKG-4435,TRP-2319,CUST-0065,VEH-024,EMP-0021,BR-009,Kanpur,Ahmedabad,"Gate 4, Kanpur","Godown, Ahmedabad",12,16200,2026-08-21,2026-08-25,,,In Transit
CN-90720,LR-8720,BKG-4436,TRP-2320,CUST-0053,VEH-015,EMP-0015,BR-010,Nashik,Lucknow,"Gate 4, Nashik","Godown, Lucknow",4.3,8100,2026-08-11,2026-08-16,2026-08-16,,Delivered
CN-90721,LR-8721,BKG-4437,TRP-2321,CUST-0160,VEH-042,EMP-0042,BR-015,Kolkata,Bengaluru,"Gate 4, Kolkata","Godown, Bengaluru",20.7,38200,2026-08-05,2026-08-10,2026-08-10,,Delivered
CN-90722,LR-8722,BKG-4438,TRP-2322,CUST-0074,VEH-014,EMP-0002,BR-007,Jaipur,Surat,"Gate 1, Jaipur","Warehouse, Surat",6.8,9300,2026-08-04,2026-08-08,2026-08-08,,Delivered
CN-90723,LR-8723,BKG-4439,TRP-2323,CUST-0022,VEH-019,EMP-0024,BR-011,Bhopal,Pune,"Gate 3, Bhopal","Warehouse, Pune",13.2,15000,2026-08-19,2026-08-23,2026-08-23,,Delivered
CN-90724,LR-8724,BKG-4440,TRP-2324,CUST-0017,VEH-025,EMP-0047,BR-013,Ahmedabad,Gurugram,"Gate 3, Ahmedabad","Depot, Gurugram",15.1,18200,2026-08-02,2026-08-07,2026-08-07,,Delivered
CN-90725,LR-8725,BKG-4441,TRP-2325,CUST-0050,VEH-061,EMP-0018,BR-014,Hyderabad,Mumbai,"Gate 1, Hyderabad","Godown, Mumbai",4.6,6800,2026-08-22,2026-08-27,2026-08-27,,Delivered
CN-90726,LR-8726,BKG-4442,TRP-2326,CUST-0177,VEH-059,EMP-0046,BR-005,Indore,Raipur,"Gate 6, Indore","Warehouse, Raipur",18,19100,2026-08-12,2026-08-17,2026-08-17,,Delivered
CN-90727,LR-8727,BKG-4443,TRP-2327,CUST-0183,VEH-015,EMP-0015,BR-012,Lucknow,Raipur,"Gate 4, Lucknow","Depot, Raipur",6.3,8400,2026-07-30,2026-08-01,2026-08-01,,Delivered
CN-90728,LR-8728,BKG-4444,TRP-2328,CUST-0081,VEH-012,EMP-0010,BR-010,Nashik,Bhopal,"Gate 4, Nashik","Warehouse, Bhopal",22.6,21600,2026-08-30,2026-09-01,,,In Prep
CN-90729,LR-8729,BKG-4445,TRP-2329,CUST-0073,VEH-059,EMP-0046,BR-004,Pune,Ahmedabad,"Gate 4, Pune","Godown, Ahmedabad",4.8,6500,2026-08-05,2026-08-08,2026-08-08,,Delivered
CN-90730,LR-8730,BKG-4446,TRP-2330,CUST-0026,VEH-023,EMP-0023,BR-005,Indore,Morbi,"Gate 5, Indore","Depot, Morbi",24.8,23300,2026-07-13,2026-07-15,2026-07-15,,Delivered
CN-90731,LR-8731,BKG-4447,TRP-2331,CUST-0015,VEH-034,EMP-0020,BR-009,Kanpur,Indore,"Gate 2, Kanpur","Warehouse, Indore",13.2,14700,2026-08-12,2026-08-17,2026-08-17,,Delivered
CN-90732,LR-8732,BKG-4449,TRP-2332,CUST-0110,VEH-015,EMP-0015,BR-006,Raipur,Bhopal,"Gate 2, Raipur","Depot, Bhopal",16.1,15600,2026-08-27,2026-08-30,,,In Prep
CN-90733,LR-8733,BKG-4451,TRP-2333,CUST-0194,VEH-055,EMP-0048,BR-011,Bhopal,Kanpur,"Gate 1, Bhopal","Godown, Kanpur",12.5,12400,2026-08-11,2026-08-15,2026-08-15,,Delivered
CN-90734,LR-8734,BKG-4452,TRP-2334,CUST-0207,VEH-041,EMP-0026,BR-002,Delhi,Pune,"Gate 2, Delhi","Warehouse, Pune",6.1,11000,2026-08-21,2026-08-23,2026-08-23,,Delivered
